code,name,theme,market
6501,日立製作所,AI/電力/データセンター,prime
7011,三菱重工,防衛/宇宙/原発,prime
5803,フジクラ,電線/データセンター,prime
6503,三菱電機,電力/FA/防衛,prime
6752,パナソニック,電池/家電/AIデータセンター,prime
5801,古河電工,電線/データセンター,prime
5802,住友電工,電線/自動車/データセンター,prime
7012,川崎重工,防衛/航空/水素,prime
7013,IHI,防衛/航空/宇宙,prime
6723,ルネサス,半導体/車載,prime
6857,アドバンテスト,半導体/検査装置,prime
8035,東京エレクトロン,半導体製造装置,prime
6504,富士電機,電力/パワー半導体/データセンター,prime
6368,オルガノ,半導体/水処理/データセンター,prime
6055,ジャパンマテリアル,半導体/特殊ガス,prime
5332,TOTO,半導体/セラミック/設備投資,prime
6146,ディスコ,半導体製造装置/AI,prime
6920,レーザーテック,半導体検査装置/AI,prime
7735,SCREEN,半導体製造装置,prime
6525,KOKUSAI ELECTRIC,半導体製造装置,prime
6315,TOWA,半導体後工程/パッケージ,prime
6254,野村マイクロ,半導体/超純水,prime
4063,信越化学,半導体材料/塩ビ,prime
4186,東京応化工業,半導体材料/フォトレジスト,prime
4369,トリケミカル研究所,半導体材料,prime
4970,東洋合成工業,半導体材料,standard
4971,メック,半導体材料/電子基板,prime
6963,ローム,半導体/パワー半導体,prime
7731,ニコン,半導体露光/精密機器,prime
7751,キヤノン,半導体露光/精密機器,prime
6590,芝浦メカトロニクス,半導体製造装置,prime
6622,ダイヘン,電力/変圧器/ロボット,prime
6645,オムロン,FA/制御機器,prime
6506,安川電機,ロボット/FA/AI,prime
6954,ファナック,ロボット/FA,prime
6383,ダイフク,物流自動化/データセンター,prime
6273,SMC,FA/空圧機器,prime
1969,高砂熱学工業,データセンター/空調,prime
1980,ダイダン,データセンター/空調/設備工事,prime
1979,大気社,空調/半導体工場,prime
1942,関電工,電力工事/データセンター,prime
1944,きんでん,電力工事/インフラ,prime
1959,九電工,電力工事/データセンター,prime
3778,さくらインターネット,データセンター/クラウド/AI,prime
3774,IIJ,通信/クラウド/データセンター,prime
9613,NTTデータグループ,IT/DX/AI,prime
6701,NEC,AI/防衛/通信,prime
6702,富士通,AI/DX/サーバー,prime
6758,ソニーグループ,半導体/ゲーム/AI,prime
6981,村田製作所,電子部品/AI端末,prime
6762,TDK,電子部品/電池,prime
6976,太陽誘電,電子部品,prime
8306,三菱UFJ,銀行/金利上昇,prime
8316,三井住友FG,銀行/金利上昇,prime
8411,みずほFG,銀行/金利上昇,prime
6208,石川製作所,防衛/地政学,standard
6203,豊和工業,防衛/地政学,standard
4274,細谷火工,防衛/地政学,standard
6946,日本アビオニクス,防衛/赤外線/半導体,standard
5631,日本製鋼所,防衛/原子力/産業機械,prime
5595,QPS研究所,宇宙/衛星,standard
9348,ispace,宇宙/月面開発,growth
